employee_id,role,department,day_index,project_phase,total_work_hours,meeting_hours,meeting_count,after_hours_work,task_assigned_count,task_completed_count,deadline_compression_ratio,task_switching_rate,email_volume,slack_message_count,response_latency_avg,longest_focus_block_minutes,recovery_gap_minutes,weekend_work_ratio,sleep_hours,sleep_consistency_score,hr_variability_index,error_rate,revision_count,decision_reversal_count,output_score,productivity_volatility_index,meeting_density_ratio,load_accumulation_rate,recovery_deficit_score,instability_index,volatility_acceleration,collapse_probability
EMP0001,DevOps,Engineering,0,Planning,8.91,0.0,0,0.56,2,1,0.328,0.63,31,53,13.0,86.5,237.6,0.0,7.2,0.507,30.7,0.0312,0,0,49.82,0.199,0.0,0.184,0.039,0.093,0.0366,0.0592
EMP0001,DevOps,Engineering,1,Planning,8.91,1.15,1,0.1,10,7,0.152,1.33,19,45,21.2,89.6,420.1,0.0,7.51,0.591,29.6,0.0108,1,1,53.53,0.206,0.112,0.126,0.002,0.085,0.026,0.0959
EMP0001,DevOps,Engineering,2,Planning,9.28,3.23,3,0.3,5,4,0.367,0.57,29,30,12.0,43.4,97.3,0.0,7.93,0.645,36.7,0.0047,0,0,52.97,0.183,0.323,0.197,0.259,0.169,0.0361,0.1883
EMP0001,DevOps,Engineering,3,Planning,8.83,0.75,1,0.39,11,7,0.256,0.05,26,47,0.7,112.8,439.0,0.0,6.82,0.528,35.1,0.031,0,0,46.51,0.195,0.113,0.153,0.045,0.1,0.0297,0.1174
EMP0001,DevOps,Engineering,4,Planning,8.75,5.25,5,1.2,3,1,0.394,0.87,32,36,15.1,59.3,27.4,0.0,7.53,0.612,38.1,0.0235,1,0,50.36,0.197,0.571,0.244,0.171,0.239,0.048,0.1262
EMP0001,DevOps,Engineering,5,Planning,9.87,5.61,4,1.25,6,4,0.467,2.32,19,31,9.5,58.5,40.0,0.0,6.53,0.628,25.5,0.0248,0,0,40.24,0.246,0.405,0.39,0.24,0.272,0.0959,0.2185
EMP0001,DevOps,Engineering,6,Planning,8.86,3.94,3,1.57,8,6,0.397,1.16,29,42,32.4,77.0,81.7,0.0,7.44,0.469,34.8,0.0319,0,0,51.34,0.204,0.339,0.304,0.076,0.189,0.062,0.2058
EMP0001,DevOps,Engineering,7,Planning,7.86,3.44,5,0.28,10,9,0.224,1.15,28,53,7.3,70.6,50.2,0.0,7.39,0.508,39.7,0.0242,0,0,47.07,0.205,0.636,0.018,0.115,0.245,0.0036,0.1891
EMP0001,DevOps,Engineering,8,Planning,8.62,2.04,2,0.7,7,6,0.58,1.78,25,43,33.3,90.6,165.0,0.0,7.48,0.608,25.0,0.0009,0,0,45.11,0.216,0.232,0.165,0.001,0.102,0.0356,0.036
EMP0001,DevOps,Engineering,9,Planning,8.73,0.63,1,0.07,6,5,0.243,0.69,20,39,10.8,76.2,441.1,0.0,7.07,0.589,31.8,0.0184,1,0,44.01,0.202,0.115,0.1,0.105,0.112,0.0202,0.0678
EMP0001,DevOps,Engineering,10,Planning,7.77,1.5,2,0.62,7,5,0.6,0.78,35,49,10.3,65.7,210.8,0.0,7.58,0.569,35.8,0.0114,0,0,44.24,0.194,0.257,0.049,0.135,0.138,0.0095,0.0516
EMP0001,DevOps,Engineering,11,Planning,9.85,1.31,2,1.01,5,4,0.339,0.82,28,40,3.4,31.0,196.1,0.0,7.51,0.518,31.1,0.0131,0,0,41.67,0.196,0.203,0.357,0.328,0.19,0.0701,0.2045
EMP0001,DevOps,Engineering,12,Planning,8.19,2.98,2,0.19,11,9,0.229,2.78,32,37,25.2,57.0,160.1,0.0,7.61,0.525,48.4,0.0,0,0,40.0,0.233,0.244,0.047,0.183,0.187,0.0111,0.0586
EMP0001,DevOps,Engineering,13,Planning,8.8,5.28,4,0.51,9,5,0.174,2.69,24,36,25.1,47.6,49.5,0.0,7.54,0.484,38.8,0.0321,1,0,40.0,0.233,0.455,0.164,0.236,0.306,0.0382,0.3573
EMP0001,DevOps,Engineering,14,Planning,8.58,1.37,1,1.33,12,11,0.188,1.09,25,56,6.3,66.4,386.5,0.0,7.17,0.599,28.6,0.0188,0,0,50.17,0.208,0.117,0.239,0.153,0.14,0.0497,0.1273
EMP0001,DevOps,Engineering,15,Planning,9.24,0.0,0,0.33,7,6,0.435,1.32,27,32,8.8,51.2,242.0,0.0,5.93,0.533,38.2,0.0377,1,0,41.93,0.238,0.0,0.196,0.32,0.211,0.0467,0.1281
EMP0001,DevOps,Engineering,16,Planning,8.61,2.17,3,0.12,4,3,0.208,1.38,30,41,0.2,49.8,125.8,0.0,7.5,0.472,37.6,0.0152,1,0,52.8,0.208,0.348,0.091,0.223,0.208,0.019,0.0737
EMP0001,DevOps,Engineering,17,Planning,7.51,4.51,5,0.32,6,4,0.649,1.28,36,46,11.6,93.4,57.6,0.0,8.11,0.495,43.8,0.0,0,0,50.2,0.193,0.666,0.0,0.0,0.172,0.0,0.123
EMP0001,DevOps,Engineering,18,Planning,6.59,2.21,2,0.13,10,6,0.502,0.34,19,50,15.9,67.0,180.0,0.0,8.28,0.54,49.6,0.0172,0,0,46.23,0.171,0.303,0.0,0.128,0.144,0.0,0.1133
EMP0001,DevOps,Engineering,19,Planning,8.6,5.16,7,0.14,8,7,0.252,1.77,24,39,1.3,63.4,19.9,0.0,6.86,0.596,42.4,0.0187,0,1,49.38,0.228,0.814,0.092,0.19,0.31,0.0211,0.1917
EMP0001,DevOps,Engineering,20,Planning,9.83,5.9,6,3.09,7,5,0.084,1.08,38,47,77.2,77.8,23.9,0.088,6.72,0.5,30.7,0.0498,0,0,42.08,0.217,0.61,0.615,0.12,0.29,0.1335,0.318
EMP0001,DevOps,Engineering,21,Planning,7.61,2.9,4,0.35,8,7,0.142,1.28,23,45,3.4,16.9,67.8,0.0,7.32,0.621,42.1,0.031,0,0,47.78,0.209,0.526,0.0,0.418,0.331,0.0,0.1329
EMP0001,DevOps,Engineering,22,Planning,9.43,5.66,10,1.53,5,4,0.189,1.35,23,46,1.8,69.4,26.1,0.0,7.24,0.603,34.5,0.0056,1,0,43.53,0.212,1.06,0.37,0.132,0.303,0.0784,0.1835
EMP0001,DevOps,Engineering,23,Planning,8.03,4.11,3,1.74,5,3,0.219,2.18,26,51,3.6,60.7,66.3,0.0,7.62,0.582,36.0,0.0157,0,0,48.03,0.221,0.374,0.221,0.163,0.22,0.0489,0.2246
EMP0001,DevOps,Engineering,24,Planning,7.98,1.15,1,0.22,11,10,0.377,1.5,22,32,4.4,39.5,406.5,0.0,7.13,0.61,36.9,0.0,0,0,40.0,0.217,0.125,0.025,0.305,0.162,0.0054,0.2087
EMP0001,DevOps,Engineering,25,Planning,9.07,0.6,1,0.21,6,4,0.377,0.77,25,46,25.1,93.4,453.2,0.0,7.04,0.475,31.4,0.0217,1,0,43.29,0.205,0.11,0.16,0.031,0.098,0.0328,0.0827
EMP0001,DevOps,Engineering,26,Planning,9.63,4.57,4,1.03,4,3,0.164,4.96,22,33,4.8,61.8,46.6,0.0,7.13,0.545,32.8,0.0437,0,1,40.0,0.287,0.415,0.333,0.181,0.374,0.0954,0.3446
EMP0001,DevOps,Engineering,27,Planning,8.39,5.04,6,0.49,7,6,0.46,0.95,25,37,51.7,64.2,33.1,0.0,7.83,0.518,30.8,0.0,0,0,46.38,0.192,0.715,0.11,0.143,0.215,0.0211,0.0531
EMP0001,DevOps,Engineering,28,Planning,9.24,2.67,4,0.26,9,5,0.393,1.82,27,64,48.5,82.3,58.9,0.0,7.21,0.579,32.1,0.0505,1,0,50.31,0.222,0.433,0.188,0.062,0.261,0.0416,0.108
EMP0001,DevOps,Engineering,29,Planning,8.18,4.91,6,0.45,8,6,0.111,1.02,25,48,20.3,72.6,20.6,0.0,7.32,0.614,45.0,0.0057,0,0,40.0,0.204,0.733,0.079,0.109,0.221,0.0161,0.0675
EMP0001,DevOps,Engineering,30,Development,10.03,2.34,2,1.5,7,5,0.211,2.07,42,68,39.8,50.3,161.1,0.0,7.52,0.523,28.7,0.008,0,0,40.0,0.221,0.199,0.441,0.221,0.184,0.0975,0.1878
